user_id,manual_time,manual_clicks,manual_class_category,manual_class_grade,manual_class_meeting_request,manual_class_parent,manual_class_response,manual_class_response_predefined_structure,manual_class_student,manual_class_subject,manual_class_task,manual_class_teacher,manual_class_user,manual_generalization_parent_user,manual_generalization_student_user,manual_generalization_teacher_user,manual_association_end_category_task,manual_association_end_grade_student,manual_association_end_grade_subject,manual_association_end_meeting_request_parent,manual_association_end_meeting_request_teacher,manual_association_end_parent_meeting_request,manual_association_end_parent_student,manual_association_end_response_predefined_structure_response,manual_association_end_response_response_predefined_structure,manual_association_end_response_student,manual_association_end_response_task,manual_association_end_student_grade,manual_association_end_student_parent,manual_association_end_student_response,manual_association_end_student_subject,manual_association_end_subject_grade,manual_association_end_subject_student,manual_association_end_subject_task,manual_association_end_subject_teacher,manual_association_end_task_category,manual_association_end_task_response,manual_association_end_task_subject,manual_association_end_teacher_meeting_request,manual_association_end_teacher_subject,tags_time,tags_clicks,tags_class_category,tags_class_grade,tags_class_meeting_request,tags_class_parent,tags_class_response,tags_class_response_predefined_structure,tags_class_student,tags_class_subject,tags_class_task,tags_class_teacher,tags_class_user,tags_generalization_parent_user,tags_generalization_student_user,tags_generalization_teacher_user,tags_association_end_category_task,tags_association_end_grade_student,tags_association_end_grade_subject,tags_association_end_meeting_request_parent,tags_association_end_meeting_request_teacher,tags_association_end_parent_meeting_request,tags_association_end_parent_student,tags_association_end_response_predefined_structure_response,tags_association_end_response_response_predefined_structure,tags_association_end_response_student,tags_association_end_response_task,tags_association_end_student_grade,tags_association_end_student_parent,tags_association_end_student_response,tags_association_end_student_subject,tags_association_end_subject_grade,tags_association_end_subject_student,tags_association_end_subject_task,tags_association_end_subject_teacher,tags_association_end_task_category,tags_association_end_task_response,tags_association_end_task_subject,tags_association_end_teacher_meeting_request,tags_association_end_teacher_subject,retry_time,retry_clicks,retry_class_category,retry_class_grade,retry_class_meeting_request,retry_class_parent,retry_class_response,retry_class_response_predefined_structure,retry_class_student,retry_class_subject,retry_class_task,retry_class_teacher,retry_class_user,retry_generalization_parent_user,retry_generalization_student_user,retry_generalization_teacher_user,retry_association_end_category_task,retry_association_end_grade_student,retry_association_end_grade_subject,retry_association_end_meeting_request_parent,retry_association_end_meeting_request_teacher,retry_association_end_parent_meeting_request,retry_association_end_parent_student,retry_association_end_response_predefined_structure_response,retry_association_end_response_response_predefined_structure,retry_association_end_response_student,retry_association_end_response_task,retry_association_end_student_grade,retry_association_end_student_parent,retry_association_end_student_response,retry_association_end_student_subject,retry_association_end_subject_grade,retry_association_end_subject_student,retry_association_end_subject_task,retry_association_end_subject_teacher,retry_association_end_task_category,retry_association_end_task_response,retry_association_end_task_subject,retry_association_end_teacher_meeting_request,retry_association_end_teacher_subject,experience_years,q_1_a_easy_missing_generalization_dependencies,q_1_b_easy_missing_instantiation_dependencies,q_1_c_easy_missing_query_dependencies,q_2_a_helps_understanding_instantiable,q_2_help_understanding_modifiable,q_2_c_helps_understanding_queries,q_3_adds_useful_information,q_4_a_easy_to_identify_instantiable,q_4_a_easy_to_identify_modifiable,q_4_a_easy_to_identify_queries,q_5_a_automation_helps_decisions,q_5_b_automation_is_faster,q_5_c_automation_avoids_missing_dependencies,q_6_a_effort_is_worth_it,q_6_b_effort_is_lower_than_manual
user_01,406987,74,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,193698,31,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,309789,53,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,7,4,5,4,5,4,4,5,5,5,4,5,5,5,5,5
user_02,423170,93,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,201569,36,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,234977,51,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,13,3,5,4,5,4,5,5,4,4,5,4,4,5,4,3
user_03,351589,70,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,308964,40,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,365154,90,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,11,5,4,5,4,4,4,4,4,4,4,4,4,5,4,4
user_04,214786,49,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,192112,32,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,276987,68,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,16,5,5,4,5,2,5,5,5,5,5,5,5,5,4,3
user_05,457291,89,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,251331,34,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,408901,59,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,9,5,4,5,4,3,4,3,4,5,3,4,4,4,4,3
user_06,449571,72,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,236811,32,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,295629,65,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,19,2,4,3,4,2,4,4,5,5,5,4,5,5,5,3
user_07,357885,55,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,264797,35,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,359711,73,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,8,3,4,5,5,5,5,5,5,5,3,4,5,5,5,5
user_08,434412,76,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,253001,37,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,331210,66,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,12,4,5,5,4,4,4,5,4,4,4,4,5,5,4,4
user_09,339001,42,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,211947,30,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,359712,72,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,7,5,4,4,5,5,5,4,5,5,4,5,5,4,4,4
user_10,213019,39,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,199236,31,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,351079,54,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,12,5,5,5,4,4,4,3,4,4,4,4,4,4,4,2
user_11,417115,46,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,295966,41,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,389914,61,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,7,5,5,4,4,3,4,4,5,5,3,5,4,5,4,4
user_17,235434,63,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,199714,31,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,213431,48,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,15,3,5,5,5,5,5,5,4,3,3,5,5,5,5,5
user_18,388015,82,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,171771,32,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,287101,71,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,8,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
user_12,368651,54,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,267817,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,346670,98,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,25,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5
user_15,220679,43,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,203600,34,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,316893,50,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,19,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5
user_13,348814,48,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,230656,36,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,309753,41,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,16,4,3,4,5,5,3,4,5,5,5,5,5,5,5,5
user_16,470695,75,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,319555,41,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,335945,55,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,15,2,4,4,5,4,5,5,4,5,4,5,5,5,5,3
user_14,435771,41,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,240295,33,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,448522,101,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,30,3,3,5,5,4,4,5,5,4,5,5,5,5,5,5
