user_id,manual_correct_class_category,manual_correct_class_grade,manual_correct_class_meeting_request,manual_correct_class_parent,manual_correct_class_response,manual_correct_class_response_predefined_structure,manual_correct_class_student,manual_correct_class_subject,manual_correct_class_task,manual_correct_class_teacher,manual_correct_class_user,manual_correct_generalization_parent_user,manual_correct_generalization_student_user,manual_correct_generalization_teacher_user,manual_correct_association_end_category_task,manual_correct_association_end_grade_student,manual_correct_association_end_grade_subject,manual_correct_association_end_meeting_request_parent,manual_correct_association_end_meeting_request_teacher,manual_correct_association_end_parent_meeting_request,manual_correct_association_end_parent_student,manual_correct_association_end_response_predefined_structure_response,manual_correct_association_end_response_response_predefined_structure,manual_correct_association_end_response_student,manual_correct_association_end_response_task,manual_correct_association_end_student_grade,manual_correct_association_end_student_parent,manual_correct_association_end_student_response,manual_correct_association_end_student_subject,manual_correct_association_end_subject_grade,manual_correct_association_end_subject_student,manual_correct_association_end_subject_task,manual_correct_association_end_subject_teacher,manual_correct_association_end_task_category,manual_correct_association_end_task_response,manual_correct_association_end_task_subject,manual_correct_association_end_teacher_meeting_request,manual_correct_association_end_teacher_subject,tags_correct_class_category,tags_correct_class_grade,tags_correct_class_meeting_request,tags_correct_class_parent,tags_correct_class_response,tags_correct_class_response_predefined_structure,tags_correct_class_student,tags_correct_class_subject,tags_correct_class_task,tags_correct_class_teacher,tags_correct_class_user,tags_correct_generalization_parent_user,tags_correct_generalization_student_user,tags_correct_generalization_teacher_user,tags_correct_association_end_category_task,tags_correct_association_end_grade_student,tags_correct_association_end_grade_subject,tags_correct_association_end_meeting_request_parent,tags_correct_association_end_meeting_request_teacher,tags_correct_association_end_parent_meeting_request,tags_correct_association_end_parent_student,tags_correct_association_end_response_predefined_structure_response,tags_correct_association_end_response_response_predefined_structure,tags_correct_association_end_response_student,tags_correct_association_end_response_task,tags_correct_association_end_student_grade,tags_correct_association_end_student_parent,tags_correct_association_end_student_response,tags_correct_association_end_student_subject,tags_correct_association_end_subject_grade,tags_correct_association_end_subject_student,tags_correct_association_end_subject_task,tags_correct_association_end_subject_teacher,tags_correct_association_end_task_category,tags_correct_association_end_task_response,tags_correct_association_end_task_subject,tags_correct_association_end_teacher_meeting_request,tags_correct_association_end_teacher_subject,retry_correct_class_category,retry_correct_class_grade,retry_correct_class_meeting_request,retry_correct_class_parent,retry_correct_class_response,retry_correct_class_response_predefined_structure,retry_correct_class_student,retry_correct_class_subject,retry_correct_class_task,retry_correct_class_teacher,retry_correct_class_user,retry_correct_generalization_parent_user,retry_correct_generalization_student_user,retry_correct_generalization_teacher_user,retry_correct_association_end_category_task,retry_correct_association_end_grade_student,retry_correct_association_end_grade_subject,retry_correct_association_end_meeting_request_parent,retry_correct_association_end_meeting_request_teacher,retry_correct_association_end_parent_meeting_request,retry_correct_association_end_parent_student,retry_correct_association_end_response_predefined_structure_response,retry_correct_association_end_response_response_predefined_structure,retry_correct_association_end_response_student,retry_correct_association_end_response_task,retry_correct_association_end_student_grade,retry_correct_association_end_student_parent,retry_correct_association_end_student_response,retry_correct_association_end_student_subject,retry_correct_association_end_subject_grade,retry_correct_association_end_subject_student,retry_correct_association_end_subject_task,retry_correct_association_end_subject_teacher,retry_correct_association_end_task_category,retry_correct_association_end_task_response,retry_correct_association_end_task_subject,retry_correct_association_end_teacher_meeting_request,retry_correct_association_end_teacher_subject,manual_total_correct,manual_total_errors,manual_accuracy,manual_class_errors,manual_generalization_errors,manual_association_errors,tags_total_correct,tags_total_errors,tags_accuracy,tags_class_errors,tags_generalization_errors,tags_association_errors,retry_total_correct,retry_total_errors,retry_accuracy,retry_class_errors,retry_generalization_errors,retry_association_errors,manual_missing_class_count,manual_unnecessary_class_count,manual_missing_generalization_count,manual_unnecessary_generalization_count,manual_missing_association_count,manual_unnecessary_association_count,manual_total_missing,manual_total_unnecessary,tags_missing_class_count,tags_unnecessary_class_count,tags_missing_generalization_count,tags_unnecessary_generalization_count,tags_missing_association_count,tags_unnecessary_association_count,tags_total_missing,tags_total_unnecessary,retry_missing_class_count,retry_unnecessary_class_count,retry_missing_generalization_count,retry_unnecessary_generalization_count,retry_missing_association_count,retry_unnecessary_association_count,retry_total_missing,retry_total_unnecessary
user_01,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,27,11,71.05,2,3,6,38,0,100.0,0,0,0,37,1,97.37,0,0,1,2,0,3,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
user_02,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,32,6,84.21,1,0,5,38,0,100.0,0,0,0,35,3,92.11,1,0,2,1,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0
user_03,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,4,89.47,0,2,2,38,0,100.0,0,0,0,38,0,100.0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user_04,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,26,12,68.42,2,3,7,38,0,100.0,0,0,0,33,5,86.84,0,0,5,2,0,3,0,2,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3
user_05,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,26,12,68.42,1,2,9,38,0,100.0,0,0,0,35,3,92.11,1,0,2,1,0,2,0,8,1,11,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0
user_06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,0,100.0,0,0,0,38,0,100.0,0,0,0,38,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user_07,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,23,15,60.53,3,1,11,38,0,100.0,0,0,0,35,3,92.11,1,0,2,3,0,1,0,8,3,12,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0
user_08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,36,2,94.74,0,0,2,38,0,100.0,0,0,0,36,2,94.74,0,0,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
user_09,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,26,12,68.42,2,3,7,37,1,97.37,0,0,1,37,1,97.37,0,0,1,2,0,3,0,2,5,7,5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
user_10,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,26,12,68.42,2,3,7,37,1,97.37,0,0,1,36,2,94.74,0,0,2,2,0,3,0,3,4,8,4,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1
user_11,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,29,9,76.32,2,3,4,38,0,100.0,0,0,0,35,3,92.11,0,0,3,2,0,3,0,3,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
user_12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,30,8,78.95,1,0,7,36,2,94.74,1,0,1,29,9,76.32,1,0,8,1,0,0,0,2,5,3,5,0,1,0,0,0,1,0,2,1,0,0,0,8,0,9,0
user_13,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,32,6,84.21,0,2,4,38,0,100.0,0,0,0,36,2,94.74,0,0,2,0,0,2,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
user_14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,8,78.95,1,0,7,38,0,100.0,0,0,0,38,0,100.0,0,0,0,1,0,0,0,2,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user_15,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,26,12,68.42,2,3,7,38,0,100.0,0,0,0,36,2,94.74,0,0,2,2,0,3,0,2,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
user_16,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,35,3,92.11,1,0,2,38,0,100.0,0,0,0,37,1,97.37,0,0,1,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
user_17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,8,78.95,1,0,7,38,0,100.0,0,0,0,38,0,100.0,0,0,0,1,0,0,0,6,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user_18,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,6,84.21,0,2,4,38,0,100.0,0,0,0,38,0,100.0,0,0,0,0,0,2,0,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
